,Batch id, time, Longitude, Latitude, x, y, z,velocity,x_raw,y_raw,z_raw,label
177,73,2017-10-15 13:43:18.628,36.76375909,-1.29771754,-0.003,-0.005,-0.017,1.19365213023,-1.05,-0.0252425179241,-0.679272446228,0.0
178,73,2017-10-15 13:43:18.731,36.76375909,-1.29771754,0.004,-0.018,-0.005,1.19365213023,-0.638,-1.87924251792,-1.19427244623,0.0
179,73,2017-10-15 13:43:18.834,36.76375909,-1.29771754,0.003,0.008,0.0,1.19365213023,-0.329,-1.05524251792,-1.19427244623,0.0
180,73,2017-10-15 13:43:18.939,36.76375909,-1.29771754,0.0,0.015,0.01,1.19365213023,-0.329,0.519757482076,-0.144272446228,0.0
182,73,2017-10-15 13:43:19.043,36.76376412,-1.29772728,0.005,-0.005,-0.001,1.21886846615,0.191,-0.000242517924094,-0.248272446228,0.0
183,73,2017-10-15 13:43:19.146,36.76376412,-1.29772728,-0.004,-0.002,-0.006,1.21886846615,-0.221,-0.206242517924,-0.866272446228,0.0
184,73,2017-10-15 13:43:19.250,36.76376412,-1.29772728,-0.005,0.013,0.013,1.21886846615,-0.741,1.14575748208,0.485727553772,0.0
185,73,2017-10-15 13:43:19.354,36.76376412,-1.29772728,0.003,-0.007,0.006,1.21886846615,-0.429,0.417757482076,1.10972755377,0.0
186,73,2017-10-15 13:43:19.457,36.76376412,-1.29772728,0.003,-0.018,-0.016,1.21886846615,-0.12,-1.43624251792,-0.538272446228,0.0
187,73,2017-10-15 13:43:19.561,36.76376412,-1.29772728,-0.002,0.005,0.008,1.21886846615,-0.328,-0.916242517924,0.293727553772,0.0
188,73,2017-10-15 13:43:19.665,36.76376412,-1.29772728,-0.01,0.021,-0.012,1.21886846615,-1.368,1.26775748208,-0.954272446228,0.0
189,73,2017-10-15 13:43:19.769,36.76376412,-1.29772728,0.007,-0.005,-0.002,1.21886846615,-0.64,0.747757482076,-1.16227244623,0.0
190,73,2017-10-15 13:43:19.874,36.76376412,-1.29772728,0.007,-0.018,0.023,1.21886846615,0.095,-1.14224251792,1.25272755377,0.0
191,73,2017-10-15 13:43:19.977,36.76376412,-1.29772728,-0.002,0.003,-0.01,1.21886846615,-0.111,-0.833242517924,0.222727553772,0.0
193,73,2017-10-15 13:43:20.080,36.76378002,-1.29774006,-0.006,0.01,-0.013,2.22786266642,-0.729,0.196757482076,-1.11627244623,0.0
194,73,2017-10-15 13:43:20.184,36.76378002,-1.29774006,-0.001,-0.009,0.001,2.22786266642,-0.833,-0.739242517924,-1.01227244623,0.0
195,73,2017-10-15 13:43:20.288,36.76378002,-1.29774006,-0.001,-0.002,-0.006,2.22786266642,-0.937,-0.947242517924,-1.63627244623,0.0
